Date,Time,State/UnionTerritory,Cured,Deaths,Confirmed
10/13/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3064,2,3168
10/13/2020,8:00 AM,Bihar,185911,955,197535
10/13/2020,8:00 AM,Andaman and Nicobar Islands,3770,55,4023
10/13/2020,8:00 AM,Andhra Pradesh,708712,6256,758951
10/13/2020,8:00 AM,Mizoram,2046,0,2202
10/13/2020,8:00 AM,Tamil Nadu,607203,10314,661264
10/13/2020,8:00 AM,Haryana,131228,1592,143221
10/13/2020,8:00 AM,Delhi,284844,5809,311188
10/13/2020,8:00 AM,Jharkhand,84461,798,93035
10/13/2020,8:00 AM,Odisha,230192,1040,254662
10/13/2020,8:00 AM,Punjab,112099,3860,124535
10/13/2020,8:00 AM,Chandigarh,11898,192,13260
10/13/2020,8:00 AM,Uttar Pradesh,393908,6438,439161
10/13/2020,8:00 AM,Telengana,189351,1233,214792
10/13/2020,8:00 AM,Madhya Pradesh,130721,2645,148298
10/13/2020,8:00 AM,West Bengal,262103,5682,298389
10/13/2020,8:00 AM,Gujarat,133615,3574,152603
10/13/2020,8:00 AM,Goa,33698,511,38674
10/13/2020,8:00 AM,Sikkim,2925,57,3366
10/13/2020,8:00 AM,Jammu and Kashmir,72706,1333,84031
10/13/2020,8:00 AM,Uttarakhand,47609,762,55347
10/13/2020,8:00 AM,Tripura,24623,317,28678
10/13/2020,8:00 AM,Rajasthan,137848,1665,161184
10/13/2020,8:00 AM,Assam,166039,826,195304
10/13/2020,8:00 AM,Puducherry,26555,565,31737
10/13/2020,8:00 AM,Himachal Pradesh,14690,251,17578
10/13/2020,8:00 AM,Maharashtra,1281896,40514,1535315
10/13/2020,8:00 AM,Karnataka,592084,10036,717915
10/13/2020,8:00 AM,Nagaland,5813,18,7240
10/13/2020,8:00 AM,Chhattisgarh,116540,1286,145247
10/13/2020,8:00 AM,Ladakh,4126,64,5151
10/13/2020,8:00 AM,Manipur,10707,93,13556
10/13/2020,8:00 AM,Arunachal Pradesh,9403,24,12367
10/13/2020,8:00 AM,Meghalaya,5273,64,7771
10/13/2020,8:00 AM,Kerala,199634,1025,295132
10/14/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3081,2,3168
10/14/2020,8:00 AM,Mizoram,2093,0,2212
10/14/2020,8:00 AM,Bihar,187059,961,198855
10/14/2020,8:00 AM,Andaman and Nicobar Islands,3782,55,4036
10/14/2020,8:00 AM,Andhra Pradesh,714427,6291,763573
10/14/2020,8:00 AM,Tamil Nadu,612320,10371,665930
10/14/2020,8:00 AM,Haryana,132382,1601,144302
10/14/2020,8:00 AM,Delhi,286880,5854,314224
10/14/2020,8:00 AM,Jharkhand,85314,805,93736
10/14/2020,8:00 AM,Odisha,232988,1057,256937
10/14/2020,8:00 AM,Punjab,113105,3894,125211
10/14/2020,8:00 AM,Chandigarh,12007,197,13331
10/14/2020,8:00 AM,Uttar Pradesh,397570,6466,442118
10/14/2020,8:00 AM,Telengana,191269,1241,216238
10/14/2020,8:00 AM,Madhya Pradesh,132429,2671,149761
10/14/2020,8:00 AM,Sikkim,3014,59,3417
10/14/2020,8:00 AM,West Bengal,265288,5744,302020
10/14/2020,8:00 AM,Gujarat,134990,3584,153761
10/14/2020,8:00 AM,Goa,34252,514,39082
10/14/2020,8:00 AM,Uttarakhand,48283,782,55641
10/14/2020,8:00 AM,Jammu and Kashmir,73502,1340,84708
10/14/2020,8:00 AM,Tripura,25041,318,28859
10/14/2020,8:00 AM,Rajasthan,139616,1679,163219
10/14/2020,8:00 AM,Assam,167059,830,196786
10/14/2020,8:00 AM,Himachal Pradesh,15001,254,17762
10/14/2020,8:00 AM,Maharashtra,1297252,40701,1543837
10/14/2020,8:00 AM,Puducherry,26865,567,32004
10/14/2020,8:00 AM,Karnataka,602505,10123,726106
10/14/2020,8:00 AM,Chhattisgarh,119352,1306,147866
10/14/2020,8:00 AM,Ladakh,4205,64,5238
10/14/2020,8:00 AM,Nagaland,5831,19,7363
10/14/2020,8:00 AM,Manipur,10829,97,13793
10/14/2020,8:00 AM,Arunachal Pradesh,9573,28,12561
10/14/2020,8:00 AM,Meghalaya,5406,65,7838
10/14/2020,8:00 AM,Kerala,207357,1046,303896
10/15/2020,8:00 AM,Dadra and Nagar Haveli and Daman and Diu,3090,2,3171
10/15/2020,8:00 AM,Mizoram,2108,0,2220
10/15/2020,8:00 AM,Bihar,188380,967,200103
